QY_NAME,QY_FR_NAME,QY_REGION_NAME
中国石油天然气股份有限公司吐哈油田分公司,王平,新疆维吾尔自治区
新疆科工矿业设计研究院有限公司,陈江,新疆维吾尔自治区-乌鲁木齐市
博尔塔拉蒙古自治州鑫合工程建设监理有限公司,印晓军,新疆维吾尔自治区-博尔塔拉蒙古自治州
青岛太行园林建设有限公司,苗林,山东省-青岛市
巴州讯卓建设监理有限公司,付晓艳,新疆维吾尔自治区-巴音郭楞蒙古自治州
新疆博凯项目管理有限公司,张真,新疆维吾尔自治区-乌鲁木齐市
青岛市勘察测绘研究院,张志华,山东省-青岛市
河北港口集团港口工程有限公司,王蕴华,河北省-秦皇岛市
新疆天佑工程项目管理咨询有限公司,孙哲民,新疆维吾尔自治区-乌鲁木齐市
张家口正元工程项目管理有限公司,姚海,河北省-张家口市
新疆建投项目管理咨询有限公司,潘伟,新疆维吾尔自治区-乌鲁木齐市
东莞市金建达建筑有限公司,郑伟松,广东省-东莞市
江苏华勘海洋地质调查有限公司,杨晋炜,江苏省-南京市
新疆开拓设计研究院有限公司,孔伟斌,新疆维吾尔自治区-巴音郭楞蒙古自治州
新疆荣葳环境建设集团有限公司,岳爱芳,新疆维吾尔自治区-乌鲁木齐市
乌鲁木齐鸿电智联电力设计有限公司,王岳,新疆维吾尔自治区-乌鲁木齐市
西宁久隆工程勘察有限公司,金世安,青海省-西宁市
新疆鑫水现代水利工程有限公司,屈祎,新疆生产建设兵团-第十二师
新疆阿克苏宏宇工程建设监理有限责任公司,康鹏,新疆维吾尔自治区-阿克苏地区
哈密新东源电力设计咨询有限公司,王武威,新疆维吾尔自治区
新疆市政建筑设计研究院有限公司,白钢,新疆维吾尔自治区-乌鲁木齐市
中海实业公司,刘泉,北京市
陕西兵咨建设咨询有限公司,朱立权,陕西省-西安市
新疆得壹建筑装饰设计工程有限责任公司,秦恺,新疆维吾尔自治区-乌鲁木齐市
江苏省水文地质工程地质勘察院有限公司,沈忠炎,江苏省-淮安市
山东五岳园林市政有限公司,韦中朴,山东省-泰安市
北石设计有限公司,王鹏,新疆维吾尔自治区-克拉玛依市
吐鲁番明嘉电力实业有限公司,张俊吉,新疆维吾尔自治区
新疆新能源研究院有限责任公司,罗迎江,新疆维吾尔自治区-乌鲁木齐市
博州盛源电力有限责任公司,王凤涛,新疆维吾尔自治区-博尔塔拉蒙古自治州
阿克苏鸿通电业发展有限责任公司,李华东,新疆维吾尔自治区-阿克苏地区
新疆建创建筑规划设计有限公司,刘晓,新疆维吾尔自治区
中鲁大成建设项目管理有限公司,柴福祥,陕西省-榆林市
陕西中秦工程管理有限公司,刘兵,陕西省-榆林市
奎屯金茂世纪电力设计有限责任公司,霍亚军,新疆维吾尔自治区-伊犁哈萨克自治州
青岛太奇环境艺术设计工程有限公司,田璐琳,山东省-青岛市
新疆有色冶金设计研究院有限公司,张洪建,新疆维吾尔自治区-乌鲁木齐市
新疆卓实电力设计咨询有限公司,郭红超,新疆维吾尔自治区-昌吉回族自治州
互助土族自治县建设工程监理站,许永胜,青海省-海东市
宁化县方正建设监理有限公司,孙韶华,福建省-三明市
吉林远大工程咨询有限责任公司,岳忠,吉林省-长春市
新疆天阳建筑工程监理有限责任公司,王澍,新疆维吾尔自治区-乌鲁木齐市
陕西启泰项目管理有限公司,陈进雄,陕西省-榆林市
广东大雄经济技术咨询有限公司,吴砥柱,广东省-广州市
浙江华东岩土勘察设计研究院有限公司,张祖国,浙江省-杭州市
陕西高速公路工程技术有限公司,张国宏,陕西省-西安市
衡阳市衡通公路桥梁勘察设计有限公司,刘俊辉,湖南省-衡阳市
石家庄市交通设计咨询集团有限公司,王存礼,河北省-石家庄市
四川百事特别装饰设计有限公司,达渊,四川省-绵阳市
四川华东电气集团工程设计咨询有限公司,彭昌杰,四川省-成都市
四川昊通工程咨询有限公司,代璞,四川省-成都市
成都久信信息技术股份有限公司,任朋飞,四川省-成都市
中国电力工程顾问集团华北电力设计院有限公司,王彦宏,北京市-市辖区
四川省环艺设计工程有限公司,叶鸥仪,四川省-成都市
广西鑫阳电力设计有限公司,沈干林,广西壮族自治区-贺州市
中国电建集团贵州电力设计研究院有限公司,张宇,贵州省-贵阳市
河南玖润农业项目咨询有限公司,梁华,河南省-郑州市
平顶山市城市规划设计研究院,张媛,河南省-平顶山市
