商品ID,标题,价格,价格说明,店铺名称,店铺标签,销量,地区,商品链接,图片链接,品牌,型号,屏幕尺寸,刷新率,电池容量,像素,机身内存,充电功率,标签
975319697990,Apple/苹果 iPhone 17 Pro Max,¥9999,,Apple Store 官方旗舰店,回头客200万,,浙江 嘉兴,https://detail.tmall.com/item.htm?id=975319697990&ns=1&abbucket=9&xxc=taobaoSearch&mi_id=0000I840bpkLIdhQx7A0N-PpSXjZLpEGGv4glnsiEUI4wMw&skuId=5928744881302,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/1917047079/O1CN01ikBYX322AEsImdIWn_!!4611686018427384103-0-item_pic.jpg_60x60.jpg,Apple/苹果,,6.9英寸,120Hz,,4800万,1TB,, 12期
974619066443,Apple/苹果 iPhone 17,¥5999,,Apple Store 官方旗舰店,回头客200万,,上海,https://detail.tmall.com/item.htm?id=974619066443&ns=1&abbucket=9&xxc=taobaoSearch&mi_id=0000fgmfpLWbYYyDmqQ7WWier9MnH1daw9Ge4ZpOgNhkZ2Y&skuId=5928750201002,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/1917047079/O1CN01A8J1Nn22AEsESZoFm_!!4611686018427384103-0-item_pic.jpg_60x60.jpg,Apple/苹果,,6.3英寸,120Hz,,4800万,256GB,, 12期; 48小时内发
999083742140,【国家补贴至高立省15%】vivo Y37t新款智能拍照手机大内存大电池长续航vivo官方旗舰店正品学生机,¥896.64,券后价,vivo手机官方旗舰店,回头客1万,4000+人付款,广西 南宁,https://detail.tmall.com/item.htm?id=999083742140&ns=1&abbucket=9&xxc=taobaoSearch&mi_id=0000R10qZIwX4LECiTMO-oG_9xRXvowy9t6-YqWw4ARb1X4&skuId=6057797961322,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/2207440821122/O1CN01IkZ79Y1K9vWLSUcUp_!!4611686018427386754-2-item_pic.png_60x60.jpg,vivo,,6.74英寸,90Hz,6000mAh,1300万像素,12GB+256GB,,满150减15; 政府补贴4%; 已补50元; 退货宝
1033263369687,honor/荣耀 Power2,¥3999,,锐鑫数码通信店,,4人付款,北京,https://item.taobao.com/item.htm?id=1033263369687&ns=1&abbucket=9&xxc=taobaoSearch&mi_id=0000kn9wp1CNUDy52UrnbfDFEF6qeaiJYNPENvMceOw7dE0&skuId=6047606237088,"https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/2219715716225/O1CN01sT5C0A1vr6dbU7Usk~crop,14,0,593,593~_!!2219715716225.png_60x60.jpg",honor/荣耀,,6.79英寸,120Hz,10080mAh,,12GB+256GB,80W,
975321925872,Apple/苹果 iPhone 17 Pro,¥8999,,Apple Store 官方旗舰店,回头客200万,,上海,https://detail.tmall.com/item.htm?id=975321925872&ns=1&abbucket=9&xxc=taobaoSearch&mi_id=000097c53F_xV3-QVW_u6MB57xQDrlhkvZg7e9CMzSUkp5M&skuId=6094367051407,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/1917047079/O1CN01DtBrbE22AEsJ9NHLd_!!4611686018427384103-0-item_pic.jpg_60x60.jpg,Apple/苹果,,6.3英寸,120Hz,,4800万,1TB,, 12期
975934381119,【国家补贴/详情领淘金币抵扣】Apple/苹果 iPhone Air 全新官方正品 5G手机 全网通 2025新款,¥5696.28,券后价,中国移动天猫手机官方旗舰店,14年老店,6000+人付款,广东 广州,https://detail.tmall.com/item.htm?id=975934381119&ns=1&abbucket=9&xxc=taobaoSearch&mi_id=0000p7qhUl-htG1f-Itz1RwBN_HdNUKUGYO1ciO8G1pTgsg&skuId=5929784881052,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/713805254/O1CN01oRYHVc1ogO47dAqfO_!!4611686018427383238-0-item_pic.jpg_60x60.jpg,Apple/苹果,,6.5英寸,120Hz,3036mAh,4800万,256GB,20W,政府补贴5%; 淘金币已抵2.92元; 退货宝
975410041136,【至高优惠1800元】Apple/苹果 iPhone 17 Pro手机国行全新手机官方旗舰店官网5G全网通手机,¥8546.28,券后价,中国移动天猫手机官方旗舰店,14年老店,4000+人付款,广东 广州,https://detail.tmall.com/item.htm?id=975410041136&ns=1&abbucket=9&xxc=taobaoSearch&mi_id=00003BWjYsxI04bsUU4TsLh8xYj4ic3qx8LZZM3XbDsPtos&skuId=6093684254376,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/713805254/O1CN01qTcP2Q1ogO47mQjEl_!!4611686018427383238-0-item_pic.jpg_60x60.jpg,Apple/苹果,,6.3英寸,120Hz,,4800万,256GB,,政府补贴5%; 淘金币已抵2.92元; 退货宝
1041891893190,【国家补贴500元+至高减42元+礼品】Huawei/华为 Pura 90 新款手机 华为官方授权超长续航 pura 90 系列手机,¥4699,,信息港数码专营店,回头客2万,1人付款,广东 深圳,https://detail.tmall.com/item.htm?id=1041891893190&ns=1&abbucket=9&xxc=taobaoSearch&fpChannel=101&fpChannelSig=37be4959a6ebc6b960179b5b08bffc1556b309dd&mi_id=0000TXHJ1CbvdEoNyBaBfhH1KDA8TLhQVhOVliGAipptsK0&skuId=6069571217564,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2201438992231/O1CN01TY06561SLql3uWNWU_!!4611686018427385703-0-item_pic.jpg_60x60.jpg,Huawei/华为,,6.8英寸,120Hz,6500mAh,5000万,12GB+256GB,,退货宝
855022988509,【12期免息】HUAWEI Mate X6分布式玄武架构鸿蒙大屏AI红枫原色影像华为官方旗舰店折叠旗舰华为手机,¥10149,券后价,华为官方旗舰店,回头客4万,3万+人付款,广东 东莞,https://detail.tmall.com/item.htm?id=855022988509&ns=1&abbucket=9&xxc=taobaoSearch&mi_id=0000975gzyGQm1Us7Cg5jbex1c7wmQg0TzJRIiMYOuNMYys&skuId=5667153161586,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/2838892713/O1CN01t2ZTIJ1Vuberp8XFp_!!4611686018427383977-0-item_pic.jpg_60x60.jpg,Huawei/华为,,7.93英寸,120Hz,5110mAh,,16GB+512GB,66W,政府补贴10%;  12期; 次日达; 退货宝
1035661086757,OnePlus/一加 Turbo 6V,¥2099,,智慧通达数码店,,6人付款,湖南 长沙,https://item.taobao.com/item.htm?id=1035661086757&ns=1&abbucket=9&xxc=taobaoSearch&mi_id=0000BBZFubPiPhaGKjx63GLtfRt3qnM9if54keb_3p-J08Y&skuId=6217772315446,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/2746107067/O1CN01OytgvJ224k7vQTgil_!!2746107067.jpg_60x60.jpg,OnePlus/一加,,6.78英寸,144Hz,9000mAh,,8GB+256GB,80W,
970888465112,【至高享12期免息】小米17 pro max手机新品新款上市小米徕卡联合研发小米官方旗舰小米澎湃OS小米17promax,¥5699.05,,小米官方旗舰店,回头客20万,6万+人付款,广东 深圳,https://detail.tmall.com/item.htm?id=970888465112&ns=1&abbucket=9&xxc=taobaoSearch&fpChannel=101&fpChannelSig=f11918a64c902cc36a29c168a4766373754f3af0&mi_id=00008DkLtFqoNWXyniE0IxO6MRaP-0ru95-PXnPVLEJ0djs&skuId=5937158536612,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/1714128138/O1CN01lEs2JR29zGJZKJgRS_!!4611686018427381002-2-item_pic.png_60x60.jpg,MIUI/小米,,6.9英寸,120Hz,7500mAh,5000万,16GB+1024GB,100w,政府补贴5%;  12期; 退货宝
930444616539,【直播间享大额优惠】vivo X Fold5新品上市折叠屏商务旗舰手机轻办公神器拍照官方旗舰店,¥6499,,vivo手机官方旗舰店,回头客1万,,广西 南宁,https://detail.tmall.com/item.htm?id=930444616539&ns=1&abbucket=9&xxc=taobaoSearch&fpChannel=101&fpChannelSig=a4b88548a87dab13b669392bc9f2e529a00984fe&mi_id=0000OsFJOuaqrI6niQX5ic7Gdvq18Ys7DuaK05nLwl7qm40&skuId=6236138671789,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2207440821122/O1CN01CFlKx91K9vWJz3n9h_!!4611686018427386754-2-item_pic.png_60x60.jpg,vivo,,8.03英寸,120Hz,6000mAh,,16GB+512GB,80W,政府补贴10%; 退货宝
974156407837,【政府补贴/详情领淘金币抵扣】Apple/苹果 iPhone 17 Pro手机 5G全网通 2025新品官网全新原封正品手机,¥8546.28,券后价,中国移动天猫手机官方旗舰店,14年老店,1万+人付款,广东 广州,https://detail.tmall.com/item.htm?id=974156407837&ns=1&abbucket=9&xxc=taobaoSearch&mi_id=0000n2ZO5bIKwC2g-UQ7lV6YPBSSbCBXVdB1_sET_O-tzsA&skuId=6094495443970,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/713805254/O1CN01Hbg1Or1ogO47xoaXN_!!4611686018427383238-0-item_pic.jpg_60x60.jpg,Apple/苹果,,6.3英寸,120Hz,,4800万,256GB,,政府补贴5%; 淘金币已抵2.92元; 退货宝
975365345395,【国家补贴】Apple/苹果 iPhone 17 手机,¥5666.08,券后价,Apple授权专营店-国家补贴,,1万+人付款,北京,https://detail.tmall.com/item.htm?id=975365345395&ns=1&abbucket=9&xxc=taobaoSearch&mi_id=0000thIqwFKsOfvd86-ZgaC-X0_xRxp4lXPgDtcSzBPDrRg&skuId=5927518616252,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2219670795289/O1CN01YYtEHJ1owPvPfXBRZ_!!4611686018427384857-0-item_pic.jpg_60x60.jpg,Apple/苹果,,6.3英寸,120Hz,3692mAh,4800万,256GB,40W,已补300元; 淘金币已抵2.92元
,,¥,,,,,,,,,,,,,,,,
,,¥,,,,,,,,,,,,,,,,
973276544290,【国家补贴至高立省500元】vivo X300新品蔡司2亿超级主摄天玑9500拍照学生智能手机官方旗舰店官网,¥3659.4,补贴价,百亿补贴品牌优选,回头客1万,,广西 南宁,https://detail.tmall.com/item.htm?id=973276544290&ns=1&abbucket=9&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=00615b599e90806c2042fcd2735b7f317358da7b&mi_id=0000I8QKRp06m7axWfGIwfBHFmizvn2MeiYH_0VP-bj1A2E&skuId=6048112888561&maskChannel=bybtrs,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/2207440821122/O1CN01nPLaDK1K9vWLkYJz5_!!2207440821122.png_60x60.jpg,vivo,,6.31英寸,120Hz,6040mAh,,16GB+512GB,,政府补贴10%; 已补533元; 超级爆款; 退货宝
